Sexo;País de nacimiento;Relación con la actividad;Periodo;Total
Total;Total;Total;2022;40.391.547
Total;Total;Total;2021;40.191.793
Total;Total;Ocupado/a;2022;19.443.155
Total;Total;Ocupado/a;2021;18.679.652
Total;Total;Parado/a;2022;3.084.678
Total;Total;Parado/a;2021;3.830.668
Total;Total;Inactivo/a;2022;17.863.714
Total;Total;Inactivo/a;2021;17.681.473
Total;Albania;Total;2022;5.106
Total;Albania;Total;2021;4.272
Total;Albania;Ocupado/a;2022;1.585
Total;Albania;Ocupado/a;2021;1.362
Total;Albania;Parado/a;2022;241
Total;Albania;Parado/a;2021;314
Total;Albania;Inactivo/a;2022;3.280
Total;Albania;Inactivo/a;2021;2.596
Total;Alemania;Total;2022;164.654
Total;Alemania;Total;2021;159.253
Total;Alemania;Ocupado/a;2022;76.573
Total;Alemania;Ocupado/a;2021;74.100
Total;Alemania;Parado/a;2022;10.146
Total;Alemania;Parado/a;2021;12.587
Total;Alemania;Inactivo/a;2022;77.935
Total;Alemania;Inactivo/a;2021;72.566
Total;Angola;Total;2022;3.166
Total;Angola;Total;2021;3.160
Total;Angola;Ocupado/a;2022;1.420
Total;Angola;Ocupado/a;2021;1.334
Total;Angola;Parado/a;2022;365
Total;Angola;Parado/a;2021;498
Total;Angola;Inactivo/a;2022;1.381
Total;Angola;Inactivo/a;2021;1.328
Total;Argelia;Total;2022;66.989
Total;Argelia;Total;2021;66.062
Total;Argelia;Ocupado/a;2022;19.634
Total;Argelia;Ocupado/a;2021;18.065
Total;Argelia;Parado/a;2022;11.526
Total;Argelia;Parado/a;2021;13.196
Total;Argelia;Inactivo/a;2022;35.829
Total;Argelia;Inactivo/a;2021;34.801
Total;Argentina;Total;2022;309.944
Total;Argentina;Total;2021;288.682
Total;Argentina;Ocupado/a;2022;157.416
Total;Argentina;Ocupado/a;2021;135.863
Total;Argentina;Parado/a;2022;24.513
Total;Argentina;Parado/a;2021;33.885
Total;Argentina;Inactivo/a;2022;128.015
Total;Argentina;Inactivo/a;2021;118.934
Total;Armenia;Total;2022;12.388
Total;Armenia;Total;2021;12.184
Total;Armenia;Ocupado/a;2022;5.606
Total;Armenia;Ocupado/a;2021;5.157
Total;Armenia;Parado/a;2022;1.495
Total;Armenia;Parado/a;2021;1.928
Total;Armenia;Inactivo/a;2022;5.287
Total;Armenia;Inactivo/a;2021;5.099
Total;Australia;Total;2022;6.187
Total;Australia;Total;2021;6.206
Total;Australia;Ocupado/a;2022;2.903
Total;Australia;Ocupado/a;2021;2.861
Total;Australia;Parado/a;2022;337
Total;Australia;Parado/a;2021;422
Total;Australia;Inactivo/a;2022;2.947
Total;Australia;Inactivo/a;2021;2.923
Total;Austria;Total;2022;6.795
Total;Austria;Total;2021;6.546
Total;Austria;Ocupado/a;2022;2.565
Total;Austria;Ocupado/a;2021;2.416
Total;Austria;Parado/a;2022;234
Total;Austria;Parado/a;2021;323
Total;Austria;Inactivo/a;2022;3.996
Total;Austria;Inactivo/a;2021;3.807
Total;Bangladesh;Total;2022;16.493
Total;Bangladesh;Total;2021;17.213
Total;Bangladesh;Ocupado/a;2022;8.062
Total;Bangladesh;Ocupado/a;2021;7.436
Total;Bangladesh;Parado/a;2022;1.044
Total;Bangladesh;Parado/a;2021;1.404
Total;Bangladesh;Inactivo/a;2022;7.387
Total;Bangladesh;Inactivo/a;2021;8.373
Total;Belarús;Total;2022;6.188
Total;Belarús;Total;2021;5.605
Total;Belarús;Ocupado/a;2022;2.429
Total;Belarús;Ocupado/a;2021;2.071
Total;Belarús;Parado/a;2022;557
Total;Belarús;Parado/a;2021;707
Total;Belarús;Inactivo/a;2022;3.202
Total;Belarús;Inactivo/a;2021;2.827
Total;Bélgica;Total;2022;47.926
Total;Bélgica;Total;2021;45.204
Total;Bélgica;Ocupado/a;2022;17.904
Total;Bélgica;Ocupado/a;2021;17.029
Total;Bélgica;Parado/a;2022;2.770
Total;Bélgica;Parado/a;2021;3.383
Total;Bélgica;Inactivo/a;2022;27.252
Total;Bélgica;Inactivo/a;2021;24.792
Total;Bolivia;Total;2022;174.762
Total;Bolivia;Total;2021;171.840
Total;Bolivia;Ocupado/a;2022;102.856
Total;Bolivia;Ocupado/a;2021;94.782
Total;Bolivia;Parado/a;2022;15.190
Total;Bolivia;Parado/a;2021;21.456
Total;Bolivia;Inactivo/a;2022;56.716
Total;Bolivia;Inactivo/a;2021;55.602
Total;Brasil;Total;2022;143.129
Total;Brasil;Total;2021;142.971
Total;Brasil;Ocupado/a;2022;61.308
Total;Brasil;Ocupado/a;2021;54.517
Total;Brasil;Parado/a;2022;13.970
Total;Brasil;Parado/a;2021;19.343
Total;Brasil;Inactivo/a;2022;67.851
Total;Brasil;Inactivo/a;2021;69.111
Total;Bulgaria;Total;2022;104.863
Total;Bulgaria;Total;2021;108.200
Total;Bulgaria;Ocupado/a;2022;52.939
Total;Bulgaria;Ocupado/a;2021;51.389
Total;Bulgaria;Parado/a;2022;14.997
Total;Bulgaria;Parado/a;2021;19.282
Total;Bulgaria;Inactivo/a;2022;36.927
Total;Bulgaria;Inactivo/a;2021;37.529
Total;Cabo Verde;Total;2022;4.470
Total;Cabo Verde;Total;2021;4.420
Total;Cabo Verde;Ocupado/a;2022;2.412
Total;Cabo Verde;Ocupado/a;2021;2.174
Total;Cabo Verde;Parado/a;2022;332
Total;Cabo Verde;Parado/a;2021;515
Total;Cabo Verde;Inactivo/a;2022;1.726
Total;Cabo Verde;Inactivo/a;2021;1.731
Total;Camerún;Total;2022;6.566
Total;Camerún;Total;2021;6.430
Total;Camerún;Ocupado/a;2022;2.939
Total;Camerún;Ocupado/a;2021;2.560
Total;Camerún;Parado/a;2022;846
Total;Camerún;Parado/a;2021;1.086
Total;Camerún;Inactivo/a;2022;2.781
Total;Camerún;Inactivo/a;2021;2.784
Total;Canadá;Total;2022;7.050
Total;Canadá;Total;2021;6.793
Total;Canadá;Ocupado/a;2022;2.987
Total;Canadá;Ocupado/a;2021;2.831
Total;Canadá;Parado/a;2022;272
Total;Canadá;Parado/a;2021;356
Total;Canadá;Inactivo/a;2022;3.791
Total;Canadá;Inactivo/a;2021;3.606
Total;Chile;Total;2022;60.240
Total;Chile;Total;2021;58.491
Total;Chile;Ocupado/a;2022;26.313
Total;Chile;Ocupado/a;2021;23.905
Total;Chile;Parado/a;2022;5.127
Total;Chile;Parado/a;2021;7.027
Total;Chile;Inactivo/a;2022;28.800
Total;Chile;Inactivo/a;2021;27.559
Total;China;Total;2022;178.352
Total;China;Total;2021;176.508
Total;China;Ocupado/a;2022;106.759
Total;China;Ocupado/a;2021;98.888
Total;China;Parado/a;2022;3.467
Total;China;Parado/a;2021;6.091
Total;China;Inactivo/a;2022;68.126
Total;China;Inactivo/a;2021;71.529
Total;Colombia;Total;2022;527.412
Total;Colombia;Total;2021;499.062
Total;Colombia;Ocupado/a;2022;235.959
Total;Colombia;Ocupado/a;2021;206.353
Total;Colombia;Parado/a;2022;47.664
Total;Colombia;Parado/a;2021;66.614
Total;Colombia;Inactivo/a;2022;243.789
Total;Colombia;Inactivo/a;2021;226.095
Total;Corea;Total;2022;4.115
Total;Corea;Total;2021;4.345
Total;Corea;Ocupado/a;2022;1.460
Total;Corea;Ocupado/a;2021;1.406
Total;Corea;Parado/a;2022;111
Total;Corea;Parado/a;2021;155
Total;Corea;Inactivo/a;2022;2.544
