Categoría: Todas las categorías

Semana,big data: (Todo el mundo),data science: (Todo el mundo),mineria de datos: (Todo el mundo)
2023-05-28,42,92,1
2023-06-04,42,96,1
2023-06-11,45,98,1
2023-06-18,45,96,1
2023-06-25,37,89,<1
2023-07-02,39,88,1
2023-07-09,41,93,<1
2023-07-16,36,90,<1
2023-07-23,36,92,<1
2023-07-30,33,86,<1
2023-08-06,34,94,<1
2023-08-13,31,93,1
2023-08-20,38,99,1
2023-08-27,38,93,1
2023-09-03,42,92,<1
2023-09-10,42,95,1
2023-09-17,44,96,1
2023-09-24,44,94,1
2023-10-01,41,89,<1
2023-10-08,39,89,1
2023-10-15,41,85,1
2023-10-22,37,82,1
2023-10-29,39,88,<1
2023-11-05,36,83,1
2023-11-12,33,81,<1
2023-11-19,34,80,<1
2023-11-26,36,84,<1
2023-12-03,40,86,<1
2023-12-10,37,75,<1
2023-12-17,30,77,<1
2023-12-24,27,71,0
2023-12-31,27,80,<1
2024-01-07,33,92,<1
2024-01-14,34,87,<1
2024-01-21,39,95,<1
2024-01-28,39,96,<1
2024-02-04,39,95,1
2024-02-11,36,89,1
2024-02-18,37,94,<1
2024-02-25,37,88,<1
2024-03-03,36,92,<1
2024-03-10,36,93,1
2024-03-17,36,93,<1
2024-03-24,35,91,<1
2024-03-31,37,90,1
2024-04-07,35,85,<1
2024-04-14,36,87,1
2024-04-21,35,90,<1
2024-04-28,33,89,<1
2024-05-05,35,93,<1
2024-05-12,39,100,<1
2024-05-19,36,88,1
2024-05-26,34,86,<1
